Town,Station,Neighbourhood,Latitude,Longitude
Western Suburbs,Andheri,"Amboli,Chakala,D.N. Nagar,Four Bungalows,JB Nagar,Lokhandwala,Marol,Model Town,Oshiwara,Poonam Nagar,Sahar,Saki Naka,Seven Bungalows,Versova",19.1196976,72.8464205
Western Suburbs,Bandra,"Bandra Kurla Complex,Bandstand Promenade,Gandhi Nagar,Kherwadi,Lands End,Pali Hill,Bandra Reclamation",19.0549792,72.8402203
Western Suburbs,Borivali,"I.C. Colony,L.I.C. Colony aka Jeevan Bhima Nagar,Eksar Colony,Shimpoli,Gorai,Kora Kendra,Vazira Naka,Babhai,Chikuwadi,Yogi Nagar",19.229068,72.8573628
Western Suburbs,Borivali East,"Magathane,Nancy Colony,Sukurwadi",19.2267228,72.8619328
Western Suburbs,Dahisar,Dahisar,19.2571784,72.8575361
Western Suburbs,Goregaon,"Aarey Milk Colony,Motilal Nagar,Bangur Nagar,Gokuldham,Pandurangwadi,NESCO colony",19.1647526,72.8500176
Western Suburbs,Jogeshwari,"Jogeshwari West,Jogeshwari East",19.1348994,72.8488199
Western Suburbs,Juhu,Juhu,19.1070215,72.8275275
Western Suburbs,Kandivali west,"Charkop,Poisar,Hindustan Naka,Mahavir Nagar",19.2083801,72.842227
Western Suburbs,Kandivali east,"Samta nagar,Damu nagar,Thakur complex,Thakur village,Lokandwala township,Akurli road,Janupada,Hanuman nagar",19.2102005,72.8648909
Western Suburbs,Khar,"Pali Naka,Khar Danda",19.0724575,72.8337068
Western Suburbs,Malad,"Dindoshi,Sunder Nagar,Pathanwadi,Rani Sati Marg,Malvani",19.1867193,72.8485884
Western Suburbs,Santacruz,Kalina,19.0815223,72.8417565
Western Suburbs,Vasai,"Naigaon,Nalasopara",19.440284,72.8786563
Western Suburbs,Virar,Virar,19.440284,72.8786563
Western Suburbs,Vile Parle,Irla,19.1002887,72.8417618
South Mumbai,Agripada,Antop Hill,18.9753024,72.8248975
South Mumbai,Altamount Road,Altamount Road,18.9663618,72.809148
South Mumbai,Bhuleshwar,Bhuleshwar,18.9537706,72.8274755
South Mumbai,Breach Candy,Breach Candy,18.9718962,72.8040315551972
South Mumbai,Carmichael Road,Carmichael Road,18.9747465,72.811002
South Mumbai,Cavel,Cavel,18.949169,72.826828
South Mumbai,Churchgate,Churchgate,18.9359567,72.8273404
South Mumbai,Cotton Green,Cotton Green,18.9871866,72.8438965
South Mumbai,Cuffe Parade,Cuffe Parade,18.9136406,72.8209295
South Mumbai,Cumballa Hill,Cumbala Hill,18.969424,72.8068513
South Mumbai,Currey Road,Currey Road,18.9943346,72.8341739
South Mumbai,Dhobitalao,Dhobitalao,18.9446197,72.8281336
South Mumbai,Dongri,Dongri,18.9622265,72.836795
South Mumbai,Kala Ghoda,Kala Ghoda,18.9279117,72.8316248
South Mumbai,Kemps Corner,Kemps Corner,18.9637535,72.8068617
South Mumbai,Lalbaug,Lalbaug,18.9914237,72.8364587
South Mumbai,Lower Parel,Lower Parel,19.0029881,72.8303219
South Mumbai,Mahalaxmi,Mahalaxmi,18.9825679,72.82416
South Mumbai,Mahim,Mahim,19.0423145,72.8398344
South Mumbai,Malabar Hill,Malabar Hill,18.9581616,72.8033665
South Mumbai,Marine Drive,"Marine Drive, Mumbai",18.9448523,72.8225462
South Mumbai,Marine Lines,Marine Lines,18.9456701,72.823781
South Mumbai,Mumbai Central,Mumbai Central,18.9695855,72.8193152
South Mumbai,Nariman Point,Nariman Point,18.9259514,72.8232083
South Mumbai,Prabhadevi,Prabhadevi,19.0148811,72.8279556
South Mumbai,Sion,Sion,19.0465213,72.8632834
South Mumbai,Walkeshwar,Walkeshwar,18.9551434,72.8077962
South Mumbai,Worli,Worli,19.0116962,72.8180702
South Mumbai,Antop Hill,C.G.S. colony,19.0207608,72.8652556
South Mumbai,Byculla,"Dagdi Chawl,Ghodapdeo",18.9766219,72.8327936
South Mumbai,Colaba,Navy Nagar,18.915091,72.8259691
South Mumbai,Dadar,"Hindu colony,Parsi Colony",19.019282,72.8428757
South Mumbai,Fort,Ballard Estate,18.9332665,72.8345146
South Mumbai,Girgaon,Khotachiwadi,18.9543165,72.8179082
South Mumbai,Kalbadevi,"Chira Bazaar,Fanas Wadi",18.9492575,72.8279382
South Mumbai,Kamathipura,Chor Bazaar,18.9653224,72.8264349
South Mumbai,Matunga,Matunga[edit],19.0274356,72.8501467
South Mumbai,Lalbaug,Lalbaug,18.9914237,72.8364587
South Mumbai,Tardeo,Gowalia Tank,18.9672753,72.8221514
